key,recording,shooter,points,made,dist,contested,flight_s,apex_frac,span_px,arch_px,arch_ratio,speed_px_s,attribution,source,flight_s_z,arch_ratio_z,apex_frac_z,speed_px_s_z,span_px_z
5gqbi2wxew52g5p_1746_246,IMG_2769.MOV,Alex,2,0,38.47744194362463,0,0.6000000000000001,0.5466666666666666,1002.6941137464717,173.33938882207667,0.17287364755180465,1671.1568562441191,clear,laptop,-1.151939193960229,0.21221352024501547,-0.6473516143811329,-0.5648734231043061,-1.111695792119794
bl46f6scpfe9ib6_554_442,IMG_2932.MOV,Adam,3,0,90.77834452275171,1,0.6333333333333333,0.16736842105263158,1508.2447200535362,222.5949810316531,0.1475854535222586,2381.439031663478,clear,laptop,-0.833630953660152,-0.4841345218444216,-1.8568419179533284,1.1998596866747704,0.44156159536636247
bl46f6scpfe9ib6_773_407,IMG_2932.MOV,Zach,3,1,85.18922669387115,1,0.666666666666667,0.9614999999999996,1457.3305831826185,209.3404325439808,0.14364649651886727,2185.995874773927,clear,laptop,-0.6293637663394505,-0.5089738146350204,1.6070408696399348,0.8865345764787567,0.35043121457636467
bl46f6scpfe9ib6_923_832,IMG_2932.MOV,Adam,3,1,80.98601550775034,0,0.5999999999999996,0.8416666666666671,1350.947992739952,156.28610904998027,0.11568625135080551,2251.5799878999214,clear,laptop,-1.0378981409808536,-0.6852927527773907,1.0843458506816634,0.991675886102213,0.16001875602785873
cmgf3z9rea2l7rc_1619_729,IMG_2932.MOV,Adam,3,0,81.12166219292851,0,1.0333333333333337,0.4248387096774192,2066.2473805127447,435.7066723213104,0.21086859029105637,1999.5942392058814,ambiguous,laptop,1.617575294188245,-0.08506736737832578,-0.7337951524963668,0.5877044003059448,1.4403214301525582
cmgf3z9rea2l7rc_1686_892,IMG_2932.MOV,Ben,3,0,79.84336451102106,0,0.6333333333333333,0.5257894736842106,1241.3734581091837,156.32690541782404,0.12593060081688526,1960.0633549092377,ambiguous,laptop,-0.833630953660152,-0.6206912870548442,-0.2934630676030525,0.5243303795650122,-0.03610691121275601
cmgf3z9rea2l7rc_1703_022,IMG_2932.MOV,Zach,3,0,99.39562967217293,1,0.5999999999999996,0.3166666666666669,1584.3364546725684,165.25155864868248,0.10430332405804213,2640.5607577876153,clear,laptop,-1.0378981409808536,-0.7570741567367671,-1.2056253728490278,1.6152712297758078,0.5777569465393436
cmgf3z9rea2l7rc_1808_128,IMG_2932.MOV,Zach,2,0,58.33872627263889,0,0.7666666666666666,0.27,1351.9626107684999,211.56011677844253,0.15648370383422425,1763.4294923067391,clear,laptop,-0.01656220437735385,-0.4280216359630437,-1.409178370496201,0.2090963869877591,0.16183480424119442
cmgf3z9rea2l7rc_1835_653,IMG_2932.MOV,Alex,3,0,77.43293914022985,0,0.5,0.004,1247.1176577038038,105.33138679325702,0.08445986322348562,2494.2353154076077,clear,laptop,-1.6506997029429502,-0.8822081790741421,-2.569430457085084,1.3806892874461223,-0.02582546231539701
cmgf3z9rea2l7rc_1868_638,IMG_2932.MOV,Zach,2,1,55.136515984006095,1,0.8333333333333335,0.45359999999999995,952.1675459010618,273.9907615657894,0.28775477881521844,1142.601055081274,clear,laptop,0.39197217026404657,0.3997814255027742,-0.6083427197528971,-0.7861860347775407,-0.5537518429743142
ctqc73n67cph45y_475_592,IMG_2769.MOV,Reilly,2,1,49.7819781541591,1,0.6000000000000005,0.7633333333333326,1200.079632216524,104.10715656425828,0.08675020704415619,2000.1327203608716,clear,laptop,-1.1519391939602242,-1.3988429242373006,0.22957390210552672,0.10173712855219719,-0.4876872102819797
g7ko31w6njargwe_1110_369,IMG_2770.MOV,Ben,2,1,58.71027066699188,1,0.5999999999999996,0.6600000000000005,1220.4146028183616,148.86634427585363,0.12198014013604024,2034.0243380306038,clear,laptop,-0.8363622617496748,-0.760268578689678,0.012542482217197186,0.426203359515705,-0.40279611344444083
g7ko31w6njargwe_1294_848,IMG_2770.MOV,Ben,2,0,47.12300929580398,1,0.833333333333333,0.5256000000000002,1149.952059566672,263.2419877790221,0.22891561921130665,1379.9424714800068,ambiguous,laptop,0.17138570937493255,0.5916697768046011,-0.5232872304401046,-0.9773295744132726,-0.5491285720509368
g7ko31w6njargwe_1324_849,IMG_2770.MOV,Evan,2,0,50.8260797477424,1,0.6666666666666667,0.2085,614.7696611023016,125.98212224388544,0.20492573107461987,922.1544916534523,clear,laptop,-0.5484342699997852,0.28837614407886913,-1.7875104587409238,-1.9596538663735683,-1.6605638475344804
g7ko31w6njargwe_1463_416,IMG_2770.MOV,Evan,2,0,35.03579806094409,1,1.5333333333333332,0.7473913043478261,698.661819977694,346.903780624501,0.49652603120001104,455.6490130289309,ambiguous,laptop,3.1946296227487547,3.9749508302565437,0.3609566005017366,-2.9606842214280102,-1.486341554390831
g7ko31w6njargwe_1482_640,IMG_2770.MOV,Adam,2,0,62.27630219882668,0,0.7666666666666666,0.8047826086956522,1406.8196805106295,236.33787689710744,0.16799443466082628,1834.9821919703863,clear,laptop,-0.11654228237495415,-0.17853003684162327,0.5897658722109879,-0.0009025144151491852,-0.015681029931039547
jmyhhago9gvrteb_1012_077,IMG_2482.MOV,Michael T,2,0,50.35058577813686,1,0.8999999999999999,0.558888888888889,1294.4328556078335,273.97932788214007,0.21165974480266586,1438.2587284531485,clear,laptop,0.22607247625382237,-0.002490899708957297,-0.3340626247727634,-0.4296913995613114,-0.22888922140894088
jmyhhago9gvrteb_1051_505,IMG_2482.MOV,Michael T,2,1,59.03938818220086,0,0.9666666666666663,0.5286206896551726,1364.749851033493,293.354408474612,0.2149510463419077,1411.8101907243038,clear,laptop,0.6576653854656651,0.06490884032811184,-0.48374022308291065,-0.4989921510462207,-0.08356481624277223
jmyhhago9gvrteb_349_941,IMG_2482.MOV,Zach,3,0,83.04269559270381,1,1.0333333333333332,0.4296774193548388,2011.2585201964048,426.903601676707,0.21225695125210395,1946.3792130932952,ambiguous,laptop,1.0892582946775107,0.009738778720889685,-0.9730191178448092,0.9016915219237998,1.2525771393702323
jmyhhago9gvrteb_372_143,IMG_2482.MOV,Zach,2,0,61.64448463110164,0,0.7666666666666666,0.3404347826086957,1153.7863874205518,204.7463583885733,0.1774560357279929,1504.9387662007198,clear,laptop,-0.6371133421698659,-0.7029193084859712,-1.4143279460273679,-0.25497562614790337,-0.5195638186995497
jmyhhago9gvrteb_397_613,IMG_2482.MOV,Michael T,2,0,54.8602855382342,1,0.7666666666666666,0.8765217391304349,1040.3088007322738,231.33850067391177,0.22237483765500446,1356.9245226942703,clear,laptop,-0.6371133421698659,0.21693429245591436,1.2366460190240127,-0.6428041862985273,-0.7540883839961572
jmyhhago9gvrteb_407_440,IMG_2482.MOV,Adam,2,0,46.07765394611436,0,0.7333333333333334,0.9709090909090908,1143.146184484772,153.0343531937931,0.13387120148834444,1558.835706115598,ambiguous,laptop,-0.8529097967757873,-1.5954557298032774,1.7033956930299619,-0.11375426725347303,-0.5415539670716354
jmyhhago9gvrteb_427_365,IMG_2482.MOV,Michael T,2,0,48.440160342747255,1,0.9666666666666663,0.5110344827586208,1012.072368381847,286.7047989877583,0.2832848795646467,1046.9714155674283,ambiguous,laptop,0.6576653854656651,1.4642587753115759,-0.5707048023542499,-1.4549467504428852,-0.8124447274448582
jmyhhago9gvrteb_464_985,IMG_2482.MOV,Zach,2,1,67.37611303935296,1,0.7333333333333334,0.5236363636363636,1468.6402094202317,230.4114575708636,0.15688761351687494,2002.6911946639523,clear,laptop,-0.8529097967757873,-1.1241223776892164,-0.5083879380635589,1.0492407997122228,0.13114578741227942
jmyhhago9gvrteb_628_785,IMG_2482.MOV,Ben,3,0,82.92741031526768,1,1.0,0.44,2275.144357118126,434.9136236374486,0.1911586938546369,2275.144357118126,ambiguous,laptop,0.8734618400715893,-0.42231433062503,-0.9219734950973063,1.7631255934988568,1.797951014495046
jmyhhago9gvrteb_771_883,IMG_2482.MOV,Adam,2,0,67.6916795962936,1,0.7000000000000006,0.6742857142857136,790.0964374467368,268.8625724546803,0.3402908299694811,1128.7091963524801,ambiguous,laptop,-1.0687062513817058,2.6316347182453708,0.23657983547548686,-1.2407765119523393,-1.271203238514287
jmyhhago9gvrteb_788_802,IMG_2482.MOV,Ian,2,1,70.22678860446557,0,1.0,0.504,1592.653636106609,389.680332893475,0.24467362146994187,1592.653636106609,clear,laptop,0.8734618400715893,0.6735719521629583,-0.6054906340627862,-0.025144152544364716,0.38744481379587137
jmyhhago9gvrteb_798_810,IMG_2482.MOV,Ben,3,0,87.4513942348847,0,0.7333333333333334,0.7827272727272726,1135.6475360490606,189.1400478212047,0.1665481954720093,1548.610276430537,clear,laptop,-0.8529097967757873,-0.9262916093382727,0.7728281897040291,-0.14054705136486076,-0.557051452663466
jmyhhago9gvrteb_881_473,IMG_2482.MOV,Zach,2,0,67.39093575455077,1,0.9333333333333331,0.5571428571428573,1905.271140339298,351.76432815023554,0.18462691251786453,2041.3619360778198,clear,laptop,0.4418689308597437,-0.5560730758595515,-0.3426968298109074,1.1505663046582644,1.033532613368852
jmyhhago9gvrteb_970_898,IMG_2482.MOV,Michael T,2,0,51.91157547304164,0,0.7666666666666666,0.7200000000000001,1131.5073433084744,181.19949539543813,0.1601399199634174,1475.8791434458365,clear,laptop,-0.6371133421698659,-1.057521184694806,0.46263902192871925,-0.3311179715368161,-0.5656080049401495
jmyhhago9gvrteb_996_631,IMG_2482.MOV,Zach,3,0,82.87201836484923,0,1.0333333333333332,0.5496774193548387,2163.710205258669,465.2220429017277,0.2150112532496518,2093.913101863228,clear,laptop,1.0892582946775107,0.06614176592973371,-0.37961375340508446,1.2882614512736879,1.5676496238263724
spqwa4x7i5ylpdx_1012_541,IMG_2769.MOV,Adam,3,0,72.45952806888694,1,0.7999999999999998,0.4012500000000001,1588.0194720216743,280.89789213372205,0.17688567242573974,1985.0243400270933,clear,laptop,1.0597840584434084,0.28726391872511875,-1.2359035475616036,0.07112270710831305,0.7387340142919454
spqwa4x7i5ylpdx_932_334,IMG_2769.MOV,Alex,2,0,39.418594142600725,1,0.8333333333333335,0.8663999999999998,916.2065558604588,238.87357615261112,0.2607202214660777,1099.4478670325504,clear,laptop,1.4284046005106854,1.8555035258006236,0.646720624717338,-1.7233390926406338,-1.3851149302682444
spqwa4x7i5ylpdx_986_560,IMG_2769.MOV,Ian,2,0,60.225682092519484,1,0.6333333333333333,0.2826315789473684,1881.424088876319,158.93091459436118,0.08447373217661028,2970.6696140152408,clear,laptop,-0.7833186518929569,-1.4414274922067625,-1.7159936405450409,2.068355974037835,1.666294456857606
w2gvgk88n6e4had_275_308,IMG_2770.MOV,Zach,2,1,30.425433227808877,1,0.666666666666667,0.8009999999999997,1036.256159492269,173.19609256869967,0.1671363696921811,1554.3842392384029,clear,laptop,-0.5484342699997842,-0.18937817585637362,0.5746852611210587,-0.6030113451174913,-0.7852455190640143
w2gvgk88n6e4had_308_839,IMG_2770.MOV,Zach,3,0,70.95157070556776,0,1.0000000000000004,0.4429999999999998,1904.303529459859,383.4889994735861,0.2013801862680787,1904.303529459858,clear,laptop,0.8912056887496551,0.24355137631668644,-0.8525992413440722,0.14784764235586528,1.017464118885567
w2gvgk88n6e4had_336_422,IMG_2770.MOV,Alex,2,0,73.19748183290965,1,0.5333333333333337,0.9468749999999995,956.5941152978821,139.4516113170307,0.14577929038754922,1793.613966183528,ambiguous,laptop,-1.1242902534995596,-0.45938636138049116,1.1562638275934067,-0.08967071038465833,-0.9506829592504279
